name,isNew,ring,quadrant,description
XCA,TRUE,adoptar,eines,Eina que permet muntar una Autoritat de Certificació (CA) i generar certificats de forma fàcil i amigable de cara a l'usuari final
Vagrant,TRUE,adoptar,eines,<a href='https://www.vagrantup.com/'>Vagrant</a> és una eina per a desenvolupadors que facilita la creació d'entorns virtuals per a desenvolupament. En Vagrant podem instal·lar i configurar programari en una màquina virtual perquè poguem simular que estem al servidor en el qual s'allotjarà l'aplicació. És l'eina sobre la qual es basa l'<a href='http://canigo.ctti.gencat.cat/canigo/entorn-desenvolupament/'>entorn de desenvolupament de Canigó</a>
Hugo,TRUE,adoptar,eines,"<a href='https://www.gohugo.io/'>Hugo</a> és una eina que facilita la creació de llocs web estàtics. Basada en unes regles simples, plantilles, i escrivint les pàgines en markdown, és una eina utilitzada en aquest Portal d'Arquitectura CTTI i al de Qualitat."
Let's Encrypt,TRUE,adoptar,eines,Permet generar i instalar certificats per habilitar tràfic SSL/HTTPs a nivell aplicatiu. Pot també generar certificats per desenvolupament.
Selenium,TRUE,provar,eines,Selenium afavoreix l'automatizació de proves. Permet realitzar proves d'integració end-2-end o utilitzant eines com ara Cucumber o Pact realitzar validar funcionalment una aplicació de forma automàtica. L'adopció de Selenium ve molt de la ma amb introduïr cultura DevOps i integració continua a una organització.
Apache Kafka,TRUE,provar,eines,"Ens estem trobant aplicacions que necessiten capturar informació en base a seqüències d'esdeveniments i enviar-les a consumidors. Apache Kafka és l'opció més adequada com a framework de missatgeria open source que cobreix aquest espai, tant per a traspàs d'informació per a ser tractada de forma analítica, com en transmissió d'informació en temps real."
Grafana,TRUE,avaluar,eines,Frontend per visualitzar dades en format gràfic de diferents fonts. Es pot agregar des d'un Elasticsearch fins a eines de monitoratge com Nagios o Zabbix. Complementa molt bé a Kibana i suporta multitenant
Babel,TRUE,avaluar,eines,"<a href='http://babeljs.io'>Babel.js</a> s'ha convertit en el compilador preferit per escriure JavaScript d'última generació. El seu ecosistema està creixent gràcies a la reestructuració del seu <a href='http://babeljs.io/docs/plugins/#presets'>sistema de connectors</a>. Permet als desenvolupadors escriure codi ES6 (i fins i tot ES7) que s'executi al navegador o al servidor sense sacrificar compatibilitat enrere per a navegadors antics, amb una configuració molt reduïda. Compta amb suport de primera classe per a diferents sistemes de compilació i proves, facilitant la integració amb qualsevol flux de treball actual. És una gran peça de programari que s'ha convertit en el principal impulsor de l'adopció i la innovació ES6 (i ES7)."
Sikuli,TRUE,avaluar,eines,Eina que realitza proves d'integració de forma visual. Selenium funciona validant contra codi mentre que Sikuli executa els tests amb reconeixement d'imatges i és més portable entre exploradors tot i que s'han de configurar llindars. Es pot integrar fins i tot amb Selenium i executar-ho com part de un pipeline d'integració continua.
Spring Boot,TRUE,adoptar,llenguatges i entorns de treball,"<a href='https://projects.spring.io/spring-boot'>Spring Boot</a>permet de forma ràpida desenvolupar aplicacions utilitzant framework Spring. La utilització de Spring Boot és molt orientada a contenidors i microserveis ja que permet l'autodesplegament amb servidor d'aplicacions embegut. El nostre framework Canigo l'utilitza."
